Sector,FieldID,blackfly_abun,mosquito_abun,Lat,Long,
CBAY,CBAY0001,0,0,69.20079,-104.76914,1
CBAY,CBAY0002,0,0,69.19431,-104.75409,
CBAY,CBAY0003,0,0,69.19431,-104.75409,
CBAY,CBAY0005,0,0,69.19431,-104.75409,
CBAY,CBAY0006,1,0,69.20525,-104.78947,
CBAY,CBAY0008,0,0,69.19431,-104.75409,
CBAY,CBAY0010,0,0,69.11325,-105.08698,
CBAY,CBAY0011,0,0,69.11325,-105.08698,
CBAY,CBAY0012,0,0,69.15263,-104.91357,
CBAY,CBAY0013,0,0,69.11837,-104.0694,
CBAY,CBAY0014,0,0,69.11837,-104.0694,
CBAY,CBAY0015,0,0,69.15263,-104.91357,
CBAY,CBAY0017,13,0,,,
CBAY,CBAY0019,0,0,,,
CBAY,CBAY0020,651,0,69.20555,-104.78194,
CBAY,CBAY0021,1,0,69.204444,-104.773889,
CBAY,CBAY0022,41,0,69.132477,-104.988683,
CBAY,CBAY0023,0,0,69.153455,-104.913307,
CBAY,CBAY0024,0,0,69.121001,-105.437764,
CBAY,CBAY0025,1,15,69.158448,-105.190938,
CBAY,CBAY0026,253,0,69.12595,-105.070236,
CBAY,CBAY0027,333,14,69.132477,-104.988683,
CBAY,CBAY0028,0,1,69.132231,-104.988717,
CBAY,CBAY0029,35,0,69.132486,-104.988703,
CBAY,CBAY0030,171,0,69.132438,-104.988833,
CBAY,CBAY0031,0,0,69.121001,-105.437764,
CBAY,CBAY0032,254,13,69.11926,-105.127426,
CBAY,CBAY0033,1,31,69.134216,-104.989923,
CBAY,CBAY0034,"2375
",29,69.128611,-104.987222,
CBAY,CBAY0035,46,14,69.128939,-104.994109,
CBAY,CBAY0036,6,19,69.132925,-105.461572,
CBAY,CBAY0037,126,,69.158318,-105.180284,
CBAY,CBAY0038,95,0,69.119246,-105.127423,
CBAY,CBAY0039,5,22,69.130466,-104.996363,
CBAY,CBAY0040,17,63,69.120943,-105.042616,
CBAY,CBAY0041,0,1,69.147755,-105.1927579,
CBAY,CBAY0042,13639,,69.20535,-104.77646,
CBAY,CBAY0043,275,31,69.12861,-104.98722,
CBAY,CBAY0044,1,0,69.167666,-105.195481,
CBAY,CBAY0045,22,6,69.13281,-105.4632,
CBAY,CBAY0046,53,0,69.119312,-105.127489,
CBAY,CBAY0047,1,0,69.133033,-105.462978,
CBAY,CBAY0048,1228,1,69.20535,-104.77646,
CBAY,CBAY0049,0,0,69.13244,-105.413377,
CBAY,CBAY0050,56,1,69.158205,-105.190377,
CBAY,CBAY0051,10,5,69.158448,-105.19093,
CBAY,CBAY0052,1337,9,69.132477,-104.988683,
CBAY,CBAY0054,0,0,69.152192,-104.913481,
CBAY,CBAY0055,2233,2,69.14212,-104.947332,
CBAY,CBAY0056,2,23,69.13281,-105.4632,
CBAY,CBAY0059,0,0,69.153455,-104.913307,
CBAY,CBAY0060,3,11,69.132277,-104.988613,
CBAY,CBAY0061,0,0,69.092068,-105.2498,
CBAY,CBAY0062,2,3,69.12861111,-104.9897222,
CBAY,CBAY0065,70,0,69.121222,-105.045298,
CBAY,CBAY0066,0,4,69.11194444,-104.9858333,
CBAY,CBAY0067,1,0,69.096233,-105.274031,
CBAY,CBAY0068,0,2,69.099735,-105.227898,
CBAY,CBAY0069,1,1,69.090294,-105.225557,
CBAY,CBAY0070,2,1,69.119088,-105.27378,
CBAY,CBAY0071,2373,0,69.14305556,-104.9475,
CBAY,CBAY0072,0,5,69.17888889,-104.8227778,
CBAY,CBAY0073,164,0,69.20527778,-104.7755556,
CBAY,CBAY0078,3,12,69.132886,-105.463173,
KGLTK,KGLTK0001,0,0,67.82884,115 05.7413,
KGLTK,KGLTK0002,0,0,67.80845,115 12.4615,
KGLTK,KGLTK0003,4,7,67.80472,115 13.8697,
KGLTK,KGLTK0008,10,13,67.82381,115 09.0514,
KGLTK,KGLTK0010,9,1,67.80998,115 07.5302,
KGLTK,KGLTK0011,0,0,67.82486,115 05.3935,
KGLTK,KGLTK0012,0,0,67.82484,115 05.3942,
KGLTK,KGLTK0014,3,7,67.8202,115 05.0807,
KGLTK,KGLTK0015,7,11,67.8233,115 09.0248,
KGLTK,KGLTK0016,0,0,67.8249,115 05.3930,
KGLTK,KGLTK0017,0,0,67.8249,115 05.3930,
KGLTK,KGLTK0018,8,4,67.8099,115 07.5350,
KGLTK,KGLTK0019,6,5,67.85138,115 16.3340,
KGLTK,KGLTK0020,1,1,67.80478,115 13.9394,
KGLTK,KGLTK0032,5,3,67.8288,115 05.7444,
KGLTK,KGLTK0033,0,5,,115 07. 5335,
KGLTK,KGLTK0034,3,0,67.80996,115 07. 5427,
KGLTK,KGLTK0035,6,0,67.85138,115 16. 3310,
KGLTK,KGLTK0036,9,0,67.82495,115 05. 3919,
KGLTK,KGLTK0037,0,1,67.8233,115 09. 0268,
KGLTK,KGLTK0038,0,0,67.8249,115 05. 3924,
KGLTK,KGLTK0039,0,0,67.82886,115 06. 1199,
KGLTK,KGLTK0040,0,0,67.82256,115 05. 5241,
KGLTK,KGLTK0041,2,0,67.82321,115 09 .0264,
KGLTK,KGLTK0042,4,1,67.82892,115 06.1291,
KGLTK,KGLTK0043,3,1,67.80479,115 13. 8722,
KGLTK,KGLTK0044,0,0,67.80996,115 07. 5319,
KGLTK,KGLTK0045,3,0,67.80994,115 07. 5445,
KGLTK,KGLTK0046,0,0,67.82354,115 08. 8634,
KGLTK,KGLTK0047,3,0,67.80469,115 13. 8729,
KGLTK,KGLTK0048,2,0,67.82358,115 08. 8729,
KGLTK,KGLTK0049,4,0,67.80997,115 07. 5311,
